"true_model","true_phi","true_nknots","bic_true_model","adaflasso","phi_adaflasso","phi_yw_adaflasso","nknots_adaflasso","bic_adaflasso","knots_WCM","nknots_WCM","bic_WCM","phi_WCM","knots_AR1seg","nknots_AR1seg","bic_AR1seg","phi_AR1seg","best_iter","changepoints","nknots_best_iter","phi_best_iter","phi_yw_best_iter","min_bic_best_iter","distance_adaflasso","distance_WCM","distance_AR1seg","distance_best_iter_flasso"
"251,501,751",-0.7,3,54.1631610430954,NA,-0.695197816535273,-0.695189804891577,0,19.1930902193546,NA,0,19.204114755252,-0.695189804891577,NA,0,19.34218282673,-0.706857900107173,1,NA,0,-0.695197816535273,-0.695189804891577,19.19309,3,3,3,3
"251,501,751",-0.7,3,10.8087090479289,NA,-0.673205054372129,-0.673216188191918,0,-3.02579755539763,NA,0,-3.03920609961324,-0.673216188191918,NA,0,-1.41521868503323,-0.715139851113365,1,NA,0,-0.673205054372129,-0.673216188191918,-3.0258,3,3,3,3
"251,501,751",-0.7,3,-12.0491028448089,NA,-0.664353069125526,-0.664357610345215,0,-14.6486197039713,NA,0,-14.6544237837741,-0.664357610345215,NA,0,-14.2732063731974,-0.643515570128568,1,NA,0,-0.664353069125526,-0.664357610345215,-14.64862,3,3,3,3
"251,501,751",-0.7,3,59.8978978822078,NA,-0.674019978326504,-0.674016615187996,0,22.3445477820672,NA,0,22.3488591784818,-0.674016615187996,NA,0,24.0419653339485,-0.630962864293815,1,NA,0,-0.674019978326504,-0.674016615187996,22.34455,3,3,3,3
"251,501,751",-0.7,3,4.32506356602626,NA,-0.678220493154858,-0.678213982221514,0,-5.32218429076685,NA,0,-5.31483504274415,-0.678213982221514,NA,0,-4.44647469553363,-0.647538400079626,1,NA,0,-0.678220493154858,-0.678213982221514,-5.32218,3,3,3,3
"251,501,751",-0.7,3,47.803665109145,NA,-0.708270744890548,-0.708292251612352,0,16.5196889133648,NA,0,16.4905209960308,-0.708292251612352,NA,0,16.6842034191638,-0.694246598142332,1,NA,0,-0.708270744890548,-0.708292251612352,16.51969,3,3,3,3
"251,501,751",-0.7,3,81.5395995955809,NA,-0.686667372090581,-0.686666318331766,0,33.6911383401816,NA,0,33.6925384748067,-0.686666318331766,NA,0,34.9097129648668,-0.650776953812812,1,NA,0,-0.686667372090581,-0.686666318331766,33.69114,3,3,3,3
"251,501,751",-0.7,3,19.0501148795696,NA,-0.694278275907119,-0.694271586289525,0,2.29564411281422,NA,0,2.30460653923752,-0.694271586289525,NA,0,2.30464347627811,-0.693984934863002,1,NA,0,-0.694278275907119,-0.694271586289525,2.29564,3,3,3,3
"251,501,751",-0.7,3,15.0197852787579,NA,-0.673245933362063,-0.673244578140494,0,-0.0498300109587406,NA,0,-0.0496202011776887,-0.673244578140494,NA,0,0.341323131996664,-0.69398904628048,1,NA,0,-0.673245933362063,-0.673244578140494,-0.04983,3,3,3,3
"251,501,751",-0.7,3,54.5363187906063,NA,-0.712944076590063,-0.712933896055361,0,19.7515247563044,NA,0,19.7663348714994,-0.712933896055361,NA,0,19.9432469632726,-0.726011484164505,1,NA,0,-0.712944076590063,-0.712933896055361,19.75152,3,3,3,3
"251,501,751",-0.7,3,4.67288993252169,NA,-0.667803435458471,-0.667804424025112,0,-5.9833579888317,NA,0,-5.98455530253578,-0.667804424025112,NA,0,0.56056079273941,-0.582212435533775,1,NA,0,-0.667803435458471,-0.667804424025112,-5.98336,3,3,3,3
"251,501,751",-0.7,3,19.4040407286912,NA,-0.689009752521996,-0.689008243463581,0,2.65640737850039,NA,0,2.65781248144395,-0.689008243463581,NA,0,2.66000345628804,-0.687487244107524,1,NA,0,-0.689009752521996,-0.689008243463581,2.65641,3,3,3,3
"251,501,751",-0.7,3,59.8519404941941,NA,-0.724622021157071,-0.724617688616753,0,21.8577701760622,NA,0,21.8643773085683,-0.724617688616753,NA,0,22.5573002005528,-0.698809064278716,1,NA,0,-0.724622021157071,-0.724617688616753,21.85777,3,3,3,3
"251,501,751",-0.7,3,48.1892486251932,NA,-0.713003833490587,-0.712992855974411,0,16.908653589479,NA,0,16.9249631228367,-0.712992855974411,NA,0,16.9323828075049,-0.715677525163658,1,NA,0,-0.713003833490587,-0.712992855974411,16.90865,3,3,3,3
"251,501,751",-0.7,3,-34.7279937497324,NA,-0.708892002712535,-0.708890948385961,0,-24.3549304967021,NA,0,-24.3528115319132,-0.708890948385961,NA,0,-24.0979197562363,-0.724824541912669,1,NA,0,-0.708892002712535,-0.708890948385961,-24.35493,3,3,3,3
"251,501,751",-0.7,3,13.7250506926891,NA,-0.712555365360395,-0.712553526037186,0,-0.505671963180578,NA,0,-0.503215348077636,-0.712553526037186,NA,0,2.2564102563847,-0.764677661214974,1,NA,0,-0.712555365360395,-0.712553526037186,-0.50567,3,3,3,3
"251,501,751",-0.7,3,54.2508204427911,NA,-0.6880362777697,-0.688024814258447,0,19.8451852006178,NA,0,19.8586941223745,-0.688024814258447,NA,0,19.9432970740948,-0.697420439759004,1,NA,0,-0.6880362777697,-0.688024814258447,19.84519,3,3,3,3
